"Date","Price","Open","High","Low","Change %"
"May 01, 2019","6.6802","6.6905","6.7089","6.6620","-0.16%"
"Apr 30, 2019","6.6910","6.6538","6.7010","6.6419","0.56%"
"Apr 29, 2019","6.6538","6.6257","6.6603","6.5953","0.50%"
"Apr 26, 2019","6.6205","6.5949","6.6494","6.5785","0.35%"
"Apr 25, 2019","6.5977","6.5543","6.6540","6.5387","0.68%"
"Apr 24, 2019","6.5533","6.5487","6.6011","6.5356","0.13%"
"Apr 23, 2019","6.5447","6.5599","6.5771","6.5302","-0.25%"
"Apr 22, 2019","6.5611","6.5357","6.5870","6.5263","0.37%"
"Apr 19, 2019","6.5367","6.5145","6.5599","6.4875","0.32%"
"Apr 18, 2019","6.5159","6.4889","6.5898","6.4849","0.51%"
"Apr 17, 2019","6.4827","6.5080","6.5435","6.4317","-0.41%"
"Apr 16, 2019","6.5095","6.5606","6.5899","6.4749","-0.83%"
"Apr 15, 2019","6.5641","6.5234","6.5866","6.5117","0.67%"
"Apr 12, 2019","6.5207","6.4546","6.5903","6.4436","0.98%"
"Apr 11, 2019","6.4576","6.4094","6.4919","6.3871","0.81%"
"Apr 10, 2019","6.4054","6.4078","6.4434","6.3638","-0.09%"
"Apr 09, 2019","6.4112","6.4150","6.4361","6.3408","0.05%"
"Apr 08, 2019","6.4078","6.3113","6.4525","6.3007","1.55%"
"Apr 05, 2019","6.3103","6.2726","6.3388","6.2355","0.56%"
"Apr 04, 2019","6.2752","6.3201","6.3671","6.2146","-0.72%"
"Apr 03, 2019","6.3205","6.2823","6.3492","6.2447","0.64%"
"Apr 02, 2019","6.2804","6.1540","6.3542","6.1382","2.09%"
"Apr 01, 2019","6.1518","6.2271","6.4107","6.0668","-1.29%"
"Mar 29, 2019","6.2321","6.2400","6.3783","6.2294","-0.20%"
"Mar 28, 2019","6.2447","6.0094","6.3228","6.0066","4.24%"
"Mar 27, 2019","5.9906","6.0035","6.1606","5.9331","-0.20%"
"Mar 26, 2019","6.0024","6.2790","6.3269","5.9703","-4.41%"
"Mar 25, 2019","6.2790","6.5209","6.5237","6.2698","-3.69%"
"Mar 22, 2019","6.5199","6.2122","6.6052","6.1971","4.89%"
"Mar 21, 2019","6.2159","6.1877","6.2333","6.1873","0.47%"
"Mar 20, 2019","6.1871","6.2160","6.2306","6.1788","-0.47%"
"Mar 19, 2019","6.2165","6.1981","6.2263","6.1910","0.28%"
"Mar 18, 2019","6.1991","6.1685","6.2104","6.1613","0.49%"
"Mar 15, 2019","6.1687","6.1794","6.2075","6.1592","-0.18%"
"Mar 14, 2019","6.1799","6.1802","6.2001","6.1707","0.02%"
"Mar 13, 2019","6.1784","6.1586","6.1956","6.1456","0.30%"
"Mar 12, 2019","6.1601","6.1268","6.1715","6.1020","0.56%"
"Mar 11, 2019","6.1259","6.1142","6.1397","6.0953","0.36%"
"Mar 08, 2019","6.1039","6.1284","6.1567","6.0880","-0.34%"
"Mar 07, 2019","6.1245","6.1361","6.1722","6.1003","-0.22%"
"Mar 06, 2019","6.1383","6.0915","6.1646","6.0573","0.77%"
"Mar 05, 2019","6.0916","6.0911","6.1217","6.0710","-0.09%"
"Mar 04, 2019","6.0971","6.1203","6.1335","6.0801","-0.27%"
"Mar 01, 2019","6.1139","6.0727","6.1562","6.0556","0.74%"
"Feb 28, 2019","6.0689","6.0424","6.0818","6.0313","0.46%"
"Feb 27, 2019","6.0414","6.0418","6.0591","6.0150","-0.11%"
"Feb 26, 2019","6.0482","6.0301","6.0566","6.0071","0.42%"
"Feb 25, 2019","6.0232","6.0317","6.0451","6.0034","-0.17%"
"Feb 22, 2019","6.0332","6.0324","6.0580","6.0117","0.02%"
"Feb 21, 2019","6.0321","6.0401","6.0647","6.0129","-0.07%"
"Feb 20, 2019","6.0366","5.9976","6.0662","5.9893","0.76%"
"Feb 19, 2019","5.9912","5.9985","6.0222","5.9706","-0.21%"
"Feb 18, 2019","6.0039","5.9623","6.0225","5.9549","0.85%"
"Feb 15, 2019","5.9535","5.9539","5.9848","5.9078","-0.04%"
